# Total: 127 callsites. Buckets: {'api/': 4, 'plugins/': 98, 'src/': 25}. Generated for POCOR-9694.
file,line,function,context_snippet,proposed_replacement
src/Templatebkp/Element/file_upload.php,175,exec,return (/[.]/.exec(fileName)) ? /[^.]+$/.exec(fileName) : un,keep-cli-only
plugins/User/src/Controller/UsersController.php,92,exec,exec($shellCmd);,system_processes-row
plugins/User/src/Controller/UsersController.php,1043,exec,$pid = exec($shellCmd);,system_processes-row
plugins/CustomExcel/src/Model/Behavior/ClassExcelReportBehavior.php,208,exec,exec(PHP_BINARY . ' ' . escapeshellarg(ROOT . DS . 'api' . D,laravel-scheduler
plugins/CustomExcel/src/Model/Behavior/StaffPdfReportTrait.php,589,exec,"exec(""java -XshowSettings:properties -version 2>&1""; $javaOu",system_processes-row
plugins/CustomExcel/src/Model/Behavior/StaffPdfReportTrait.php,617,exec,exec($loCmd; $output; $returnCode);,system_processes-row
plugins/CustomExcel/src/Model/Behavior/InstitutionPdfReportTrait.php,591,exec,"exec(""java -XshowSettings:properties -version 2>&1""; $javaOu",system_processes-row
plugins/CustomExcel/src/Model/Behavior/InstitutionPdfReportTrait.php,619,exec,exec($loCmd; $output; $returnCode);,system_processes-row
plugins/CustomExcel/src/Model/Behavior/ClassPdfReportTrait.php,589,exec,"exec(""java -XshowSettings:properties -version 2>&1""; $javaOu",system_processes-row
plugins/CustomExcel/src/Model/Behavior/ClassPdfReportTrait.php,617,exec,exec($loCmd; $output; $returnCode);,system_processes-row
src/Controller/DashboardController.php,222,exec,$pid = exec($shellCmd);,system_processes-row
src/Controller/DashboardController.php,234,exec,exec($nohup);,system_processes-row
src/Controller/DashboardController.php,581,exec,exec($nohup);,system_processes-row
src/Controller/DashboardController.php,592,exec,//        exec($nohup);,keep-cli-only
src/Controller/DashboardController.php,887,exec,exec($shellCmd);,system_processes-row
plugins/CustomExcel/src/Model/Behavior/InstitutionExcelReportBehavior.php,206,exec,exec(PHP_BINARY . ' ' . escapeshellarg(ROOT . DS . 'api' . D,laravel-scheduler
plugins/CustomExcel/src/Model/Behavior/StaffExcelReportBehavior.php,208,exec,exec(PHP_BINARY . ' ' . escapeshellarg(ROOT . DS . 'api' . D,laravel-scheduler
plugins/Installer/src/Form/DatabaseConnectionForm.php,402,exec,// $result = exec('mysql -u'.$username.' -p'.$password.' --h,keep-cli-only
plugins/Installer/src/Form/DatabaseConnectionForm.php,403,exec,"// $result = exec(""/Applications/MAMP/Library/bin/mysql --ho",keep-cli-only
plugins/Installer/src/Form/DatabaseConnectionForm.php,543,exec,$pdo->exec($createDbSQL);,keep-cli-only
plugins/Installer/src/Form/DatabaseConnectionForm.php,568,exec,$pdo->exec($createUserSQL);,keep-cli-only
plugins/Installer/src/Form/DatabaseConnectionForm.php,569,exec,$pdo->exec($grantSQL);,keep-cli-only
plugins/Installer/src/Form/DatabaseConnectionForm.php,570,exec,$pdo->exec($flushPriviledges);,keep-cli-only
plugins/CustomExcel/src/Model/Behavior/StudentExcelReportBehavior.php,210,exec,exec(PHP_BINARY . ' ' . escapeshellarg(ROOT . DS . 'api' . D,laravel-scheduler
plugins/CustomExcel/src/Model/Behavior/PdfReportTrait.php,1294,exec,"exec(""java -XshowSettings:properties -version 2>&1""; $javaOu",system_processes-row
plugins/CustomExcel/src/Model/Behavior/PdfReportTrait.php,1322,exec,exec($loCmd; $output; $returnCode);,system_processes-row
plugins/CustomExcel/src/Model/Behavior/ExcelReportBehavior.php,319,exec,exec(PHP_BINARY . ' ' . escapeshellarg(ROOT . DS . 'api' . D,laravel-scheduler
plugins/CustomExcel/src/Model/Behavior/StudentPdfReportTrait.php,261,exec,"exec(""java -XshowSettings:properties -version 2>&1""; $javaOu",system_processes-row
plugins/CustomExcel/src/Model/Behavior/StudentPdfReportTrait.php,289,exec,exec($loCmd; $output; $returnCode);,system_processes-row
plugins/Configuration/src/Model/Table/ConfigWebhooksTable.php,1059,exec,$pid = exec($shellCmd);,system_processes-row
plugins/Alert/src/Model/Table/AlertLogsTable.php,91,exec,exec($shellCmd);,system_processes-row
plugins/Alert/src/Model/Table/AlertLogsTable.php,117,exec,exec($shellCmd);,system_processes-row
plugins/Alert/src/Model/Table/AlertLogsTable.php,1005,exec,exec($shellCmd);,system_processes-row
plugins/Alert/src/Model/Table/AlertLogsTable.php,1019,exec,exec($shellCmd);,system_processes-row
plugins/Configuration/src/Model/Table/WebhooksTable.php,1060,exec,$pid = exec($shellCmd);,system_processes-row
plugins/Alert/src/Model/Table/AlertsTable.php,273,exec,exec($shellCmd);,system_processes-row
plugins/Alert/src/Model/Table/AlertsTable.php,303,exec,exec($shellCmd);,system_processes-row
plugins/Alert/src/Model/Table/AlertsTable.php,326,exec,exec($shellCmd);,system_processes-row
plugins/Alert/src/Model/Table/AlertsTable.php,352,exec,exec($shellCmd);,system_processes-row
plugins/Alert/src/Model/Behavior/WebhookQueueBehavior.php,18,exec,* Queues webhook requests to webhook_queue table instead of ,keep-cli-only
plugins/Alert/src/Controller/WebhookController.php,24,exec,exec($command; $output; $returnVar);,system_processes-row
plugins/Alert/src/Controller/AlertsController.php,103,exec,exec($command; $output; $returnVar);,system_processes-row
plugins/Alert/src/Controller/AlertsController.php,125,exec,exec($checkCommand; $checkOutput; $checkReturn);,system_processes-row
plugins/Alert/src/Controller/AlertsController.php,133,exec,exec($sendCommand; $sendOutput; $sendReturn);,system_processes-row
plugins/Alert/src/Controller/AlertsController.php,152,exec,exec($command; $output; $returnVar);,system_processes-row
plugins/Alert/src/Controller/AlertsController.php,184,exec,exec($cmd; $output; $returnVar);,system_processes-row
plugins/Examination/src/Model/Table/ExaminationCentresTable.php,786,exec,$pid = exec($shellCmd);,system_processes-row
plugins/Examination/src/Model/Table/ExaminationCentresExaminationsTable.php,465,exec,$pid = exec($shellCmd);,system_processes-row
plugins/Security/src/Model/Table/SecurityGroupUsersTable.php,114,exec,$pid = exec($shellCmd);,system_processes-row
plugins/Examination/src/Controller/Component/SyncExamComponent.php,271,shell_exec,$pid = shell_exec($shellCmd);,system_processes-row
plugins/Staff/src/Model/Table/InstitutionStaffAttendancesTable.php,88,shell_exec,//shell_exec($cmd);,keep-cli-only
plugins/Staff/src/Model/Table/InstitutionStaffAttendancesTable.php,90,shell_exec,shell_exec($shellCmd);,system_processes-row
plugins/Workflow/src/Model/Behavior/WorkflowCaseBehavior.php,309,exec,$pid = exec($shellCmd);,system_processes-row
plugins/Workflow/src/Model/Behavior/WorkflowBehavior.php,303,exec,$pid = exec($shellCmd);,system_processes-row
api/app/Console/Commands/MakeNewApi.php,891,exec,"exec(""php artisan test --filter={$modelName}ApiTest""; $outpu",keep-cli-only
api/app/Console/Commands/Alerts/EnqueueAlertCommand.php,14,exec,* Replaces the previous direct `exec()` of per-feature artis,keep-cli-only
plugins/Profile/src/Model/Table/StaffProfilesTable.php,1157,exec,$pid = exec($shellCmd);,system_processes-row
plugins/Profile/src/Model/Table/StaffProfilesTable.php,1246,exec,$pid = exec($shellCmd);,system_processes-row
plugins/Profile/src/Model/Table/StudentProfilesTable.php,1199,exec,$pid = exec($shellCmd);,system_processes-row
plugins/Profile/src/Model/Table/StudentProfilesTable.php,1302,exec,$pid = exec($shellCmd);,system_processes-row
plugins/Report/src/Model/Table/ReportProgressTable.php,106,exec,$pid = exec($shellCmd);,system_processes-row
plugins/Report/src/Model/Table/ReportProgressTable.php,131,exec,// 	$pid = exec($shellCmd);,keep-cli-only
plugins/Report/src/Model/Behavior/CsvBehavior.php,136,shell_exec,$mysqlPath = trim(shell_exec('which mysql'));,system_processes-row
plugins/Report/src/Model/Behavior/CsvBehavior.php,157,exec,$pid = exec($exportCmd);,system_processes-row
api/app/Repositories/WebhookRepository.php,42,exec,//  Replaces the prior fire-and-forget exec() pattern. The O,keep-cli-only
plugins/Institution/src/Model/Table/StudentStatusUpdatesTable.php,168,exec,$pid = exec($shellCmd);,system_processes-row
plugins/Institution/src/Model/Table/StaffProfilesTable.php,1162,exec,$pid = exec($shellCmd);,system_processes-row
plugins/Institution/src/Model/Table/StaffProfilesTable.php,1255,exec,$pid = exec($shellCmd);,system_processes-row
plugins/Institution/src/Model/Table/RisksTable.php,119,exec,"exec(""kill -9 "" . $record->pid);",system_processes-row
plugins/Institution/src/Model/Table/StudentProfilesTable.php,1228,exec,$pid = exec($shellCmd);,system_processes-row
plugins/Institution/src/Model/Table/StudentProfilesTable.php,1336,exec,$pid = exec($shellCmd);,system_processes-row
plugins/Institution/src/Model/Table/StaffPositionTitlesTable.php,441,exec,$pid = exec($shellCmd);,system_processes-row
plugins/Institution/src/Model/Table/InstitutionsProfileTable.php,893,exec,$pid = exec($shellCmd);,system_processes-row
plugins/Institution/src/Model/Table/InstitutionSurveysTable.php,394,exec,$pid = exec($shellCmd);,system_processes-row
plugins/Institution/src/Model/Table/ClassesProfilesTable.php,1084,exec,$pid = exec($shellCmd);,system_processes-row
plugins/Institution/src/Model/Table/ReportCardStatusesTable.php,2076,exec,$pid = exec($shellCmd);,system_processes-row
plugins/Institution/src/Model/Table/ReportCardStatusesTable.php,2178,exec,$pid = exec($shellCmd);,system_processes-row
plugins/Institution/src/Model/Table/ReportCardStatusesTable.php,2351,exec,$pid = exec($shellCmd);,system_processes-row
plugins/Directory/src/Model/Table/StaffProfilesTable.php,1112,exec,$pid = exec($shellCmd);,system_processes-row
plugins/Directory/src/Model/Table/StaffProfilesTable.php,1201,exec,$pid = exec($shellCmd);,system_processes-row
plugins/Directory/src/Model/Table/StudentProfilesTable.php,1104,exec,$pid = exec($shellCmd);,system_processes-row
plugins/Directory/src/Model/Table/StudentProfilesTable.php,1207,exec,$pid = exec($shellCmd);,system_processes-row
plugins/Directory/src/Model/Behavior/MergeBehavior.php,132,exec,$pid = exec($shellCmd);,system_processes-row
