file,classname,extends,classification,laravel_equivalent,notes
src/Shell/RiskShell.php,RiskShell,Cake\Console\Shell,dead,,Risk reports utility; no callers (UpdateRisksShell is the live one)
src/Shell/SendingAlertShell.php,SendingAlertShell,Cake\Console\Shell,superseded,src/Command/SendingAlertCommand.php,Replaced by Cake 5 SendingAlertCommand (sending_alert); old triggerSendingAlertShell call commented out
src/Shell/ShiftShell.php,ShiftShell,Cake\Console\Shell,dead,,Old shift utility; superseded by UpdateInstitutionShiftTypeShell
src/Shell/StaffAttendancesShell.php,StaffAttendancesShell,Cake\Console\Shell,dead,,Standalone staff-attendance recompute; no callers
src/Shell/StaffPhotoDownloadShell.php,StaffPhotoDownloadShell,Cake\Console\Shell,dead,,Bulk download staff photos; no callers
src/Shell/StudentAdmissionShell.php,StudentAdmissionShell,Cake\Console\Shell,dead,,Old student admission batch; no callers
src/Shell/StudentAssessmentsShell.php,StudentAssessmentsShell,Cake\Console\Shell,dead,,Old student-assessments batch; no callers
src/Shell/StudentAttendanceShell.php,StudentAttendanceShell,Cake\Console\Shell,dead,,Old student-attendance batch; no callers (week-list logic now in InstitutionStudentWeeklyAttendanceTable)
src/Shell/StudentsPhotoDownloadShell.php,StudentsPhotoDownloadShell,Cake\Console\Shell,dead,,Bulk download student photos; POCOR-7939 refactor; no callers
src/Shell/SurveyShell.php,SurveyShell,Cake\Console\Shell,dead,,Builds InstitutionSurveys records; no callers found
src/Shell/SyncExamResultShell.php,SyncExamResultShell,Cake\Console\Shell,dead,,Sync exam results; no callers found
src/Shell/SystemUpdatesShell.php,SystemUpdatesShell,App\Shell\AlertShell,superseded,api/app/Console/Commands/Alerts/AlertSystemUpdatesCommand.php,POCOR-9509 ported to Laravel alerts:system-updates
src/Shell/TreeShell.php,TreeShell,Cake\Console\Shell,dead,,Generic Cake tree-recover utility; no callers in app code
src/Shell/TriggerUpdateSubjectStudentTotalMarkShell.php,TriggerUpdateSubjectStudentTotalMarkShell,Cake\Console\Shell,live,,Spawns N parallel UpdateSubjectStudentTotalMarkShell threads via exec()
src/Shell/UpdateAssigneeShell.php,UpdateAssigneeShell,Cake\Console\Shell,live,,Spawned by WorkflowBehavior::triggerUpdateAssigneeShell + SecurityGroupUsersTable
src/Shell/UpdateIndexesShell.php,UpdateIndexesShell,Cake\Console\Shell,live,,Spawned by RisksTable::triggerUpdateIndexesShell
src/Shell/UpdateInstitutionShiftTypeShell.php,UpdateInstitutionShiftTypeShell,Cake\Console\Shell,live,,Spawned by AcademicPeriodsTable::triggerUpdateInstitutionShiftTypeShell
src/Shell/UpdateRisksShell.php,UpdateRisksShell,Cake\Console\Shell,live,,Spawned by RisksTable::triggerUpdateRisksShell
src/Shell/UpdateSecurityGroupUsersShell.php,UpdateSecurityGroupUsersShell,Cake\Console\Shell,live,,Spawned to recompute security_group_users from role/group changes
src/Shell/UpdateStaffLateAttendanceShell.php,UpdateStaffLateAttendanceShell,Cake\Console\Shell,live,,Spawned to recompute late-attendance flags on staff
src/Shell/UpdateStaffRolesShell.php,UpdateStaffRolesShell,Cake\Console\Shell,live,,Spawned to recompute staff role assignments
src/Shell/UpdateStudentStatusShell.php,UpdateStudentStatusShell,Cake\Console\Shell,live,,Spawned by StudentStatusUpdatesTable::triggerUpdateStudentStatusShell
src/Shell/UpdateSubjectStudentTotalMarkShell.php,UpdateSubjectStudentTotalMarkShell,Cake\Console\Shell,live,,Worker thread spawned by TriggerUpdateSubjectStudentTotalMarkShell
src/Shell/UpdateUserDefaultIdentityNoShell.php,UpdateUserDefaultIdentityNoShell,Cake\Console\Shell,dead,,One-off backfill of default identity numbers; no callers
src/Shell/VersionShell.php,VersionShell,Cake\Console\Shell,dead,,Reports app version; no callers
src/Shell/WebhookShell.php,WebhookShell,Cake\Console\Shell,superseded,api/app/Console/Commands/ProcessWebhook.php,Replaced by Laravel webhook:process / webhooks:process queue commands
